what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035680538
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035683666
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035769646
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035777621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035783115
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035783497
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035813716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035842192
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035857698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035857871
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035860363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035871185
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035873309
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1297035876085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035878243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035880644
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035880670
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035881817
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035882112
error,log,,,"An internal error occurred during: ""Deploying Guestbook to Google"".",1297035882263
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035891340
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1297035896930
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1297035897273
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1297035897599
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1297035901623
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035902946
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035992814
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1297035995371
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297035996423
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1297035997814
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035997843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297035998674
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1297036003385
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036012336
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036020854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036020879
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036021728
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036022023
error,log,,,"An internal error occurred during: ""Deploying Guestbook to Google"".",1297036022205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036027129
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036029278
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036047645
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036047676
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036048821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036049115
error,log,,,"An internal error occurred during: ""Deploying Guestbook to Google"".",1297036049297
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036050158
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036051446
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036055558
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036057176
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036161628
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1297036164576
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1297036167220
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1297036169658
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036169686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036170605
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297036174762
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036176808
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036179508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036179533
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036181283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036181574
error,log,,,"An internal error occurred during: ""Deploying Guestbook to Google"".",1297036181751
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036183708
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1297036184543
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1297036191885
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1297036193047
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1297036193583
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1297036196907
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1297036197971
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036199241
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036202881
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036202908
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036203788
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297036204081
error,log,,,"An internal error occurred during: ""Deploying Guestbook to Google"".",1297036204264
